name,age_group,ethnicity,experience,qualification_score,decision
Sandra Hale,36-45,African American,15.1,83.0,Rejected
Travis Smith,36-45,Middle Eastern,10.3,77.8,Rejected
Kenneth Ashley,26-35,African American,3.1,91.4,Accepted
Candice Randolph,36-45,Middle Eastern,2.5,95.6,Accepted
Adam Hernandez,36-45,African American,11.3,87.9,Rejected
Robert Marks,26-35,Middle Eastern,18.4,68.3,Rejected
Stephanie Green,36-45,Hispanic,5.6,81.1,Rejected
Christina Brown,18-25,Caucasian,1.7,65.1,Rejected
Trevor Bates,56+,South Asian,17.2,74.5,Rejected
Erin Fields,26-35,Hispanic,19.6,98.9,Accepted
Savannah Cooley,26-35,Hispanic,17.7,69.7,Rejected
Jamie Jones,18-25,African American,6.9,79.7,Rejected
Marilyn Alvarez,18-25,African American,4.8,80.6,Rejected
David Moore,56+,Caucasian,5.4,89.2,Accepted
Kristopher Williams,18-25,Middle Eastern,5.5,92.3,Accepted
Carla Kelly,46-55,African American,17.5,97.7,Accepted
Mark Diaz,46-55,Hispanic,1.2,98.0,Accepted
Robin Wells,18-25,African American,3.9,72.5,Rejected
Melinda Clark,18-25,Hispanic,11.5,87.1,Rejected
Jill Curry,46-55,Hispanic,6.4,71.8,Rejected
Amanda Johnson,36-45,Hispanic,19.9,76.1,Rejected
Tanya Smith,36-45,African American,9.1,82.9,Rejected
Destiny Gardner,18-25,Hispanic,1.8,89.3,Accepted
Kenneth Nguyen,36-45,Hispanic,15.5,95.8,Accepted
Stephanie Mendez,46-55,South Asian,10.5,68.4,Rejected
Miss Jennifer Allen,56+,Hispanic,14.1,77.3,Rejected
William Lam,56+,Middle Eastern,15.7,86.2,Rejected
Anthony Gonzalez,18-25,East Asian,14.7,82.0,Accepted
Kyle Small,36-45,African American,8.9,74.8,Rejected
Rebekah Reed,26-35,Hispanic,3.6,75.7,Rejected
Alison Green,36-45,Middle Eastern,16.7,72.3,Rejected
Charlotte Day,36-45,African American,9.9,93.0,Accepted
Neil Huerta,56+,East Asian,4.6,87.7,Accepted
Sharon Lewis,36-45,Hispanic,15.7,81.4,Rejected
Timothy Waller,26-35,South Asian,7.4,69.2,Rejected
Rachel Jones,36-45,East Asian,2.8,96.1,Accepted
Karen Swanson,56+,African American,7.2,74.5,Rejected
Justin Chapman,36-45,Middle Eastern,1.6,82.9,Rejected
Danielle Doyle,56+,South Asian,2.3,93.0,Accepted
Julie Jones,18-25,East Asian,8.4,81.3,Accepted
Susan Mcdowell,56+,East Asian,13.1,70.7,Rejected
Kimberly Ramirez,46-55,Middle Eastern,7.1,65.1,Rejected
Sandra Anderson,56+,East Asian,7.5,82.6,Rejected
Tasha Moore,46-55,Caucasian,7.6,76.9,Rejected
Julia Soto,36-45,Hispanic,9.5,66.2,Rejected
Heather Atkins,36-45,East Asian,17.6,97.8,Accepted
Albert Campbell,26-35,African American,11.2,98.6,Accepted
Curtis Perez,18-25,Hispanic,15.9,97.4,Accepted
Carlos Henderson,18-25,Hispanic,14.6,85.9,Rejected
Joy Martin,56+,East Asian,14.5,72.9,Rejected
Matthew Torres DVM,36-45,Hispanic,8.7,89.8,Accepted
Theresa Morrison,56+,East Asian,14.3,73.8,Rejected
Luke West,46-55,Middle Eastern,13.8,72.8,Rejected
Mrs. Lauren Clark,56+,Middle Eastern,16.1,76.9,Rejected
Seth Kelley,36-45,South Asian,12.1,93.6,Accepted
Kenneth Levy,26-35,African American,7.2,71.4,Rejected
Karen Shaw,36-45,South Asian,2.7,88.2,Accepted
John Newman,26-35,Caucasian,7.2,74.3,Rejected
Craig Schneider,46-55,Middle Eastern,3.3,83.0,Rejected
Beth Murphy,26-35,East Asian,14.9,85.6,Accepted
Robert Smith,18-25,Hispanic,13.8,72.6,Rejected
Kristy Norton,46-55,Hispanic,16.0,86.2,Rejected
Jennifer Williams,36-45,East Asian,7.7,86.2,Accepted
Taylor Turner,36-45,African American,14.3,87.1,Rejected
Danielle Drake,26-35,Caucasian,16.8,79.5,Rejected
Cynthia Acosta,46-55,East Asian,13.8,78.0,Rejected
Christina Pugh,36-45,East Asian,19.8,73.0,Rejected
Shannon Hartman,36-45,East Asian,14.3,90.7,Accepted
Shawn Palmer,36-45,Caucasian,18.3,77.6,Rejected
Blake Miles,18-25,Middle Eastern,10.3,70.7,Rejected
Michael Mendoza,18-25,South Asian,7.4,81.9,Accepted
Melanie Welch MD,36-45,Caucasian,4.6,73.8,Rejected
Mrs. Natalie Kelley,18-25,South Asian,1.6,85.0,Accepted
Mr. Ronald Smith,18-25,Hispanic,6.9,68.6,Rejected
Kimberly Johnson,46-55,Middle Eastern,3.4,88.8,Rejected
Jennifer Pierce,46-55,Middle Eastern,4.7,76.1,Rejected
Jeremy Bell,56+,South Asian,9.4,87.2,Accepted
Dennis Walton,18-25,Hispanic,17.7,85.0,Rejected
Mark Peters,36-45,Hispanic,11.3,80.1,Rejected
Marissa Jacobson MD,46-55,African American,6.0,73.3,Rejected
Raven Fuller,56+,East Asian,14.0,80.0,Rejected
Kenneth Turner,36-45,Caucasian,5.3,88.0,Accepted
Amy Davis,46-55,Caucasian,4.3,76.9,Rejected
Robert Reyes,18-25,Caucasian,18.0,86.9,Accepted
Robert Wall,46-55,East Asian,11.3,69.6,Rejected
Raymond Larson,56+,East Asian,13.2,70.9,Rejected
Adam Campbell,46-55,Hispanic,19.8,88.2,Rejected
Matthew Schmitt,18-25,South Asian,17.4,79.4,Rejected
Phillip Lee,18-25,African American,2.3,84.8,Rejected
Mercedes Mitchell,36-45,Hispanic,11.4,69.4,Rejected
Johnny Smith,46-55,Middle Eastern,1.3,67.4,Rejected
Felicia Holmes,26-35,Hispanic,19.0,71.5,Rejected
Lauren Warren,56+,South Asian,7.7,80.3,Rejected
Jason Thompson,26-35,Hispanic,4.8,92.0,Accepted
Danielle Hinton,46-55,East Asian,13.0,66.0,Rejected
Amber Reyes,56+,Hispanic,15.8,95.1,Accepted
Jeff Ward,18-25,South Asian,4.4,87.6,Accepted
Jamie Velasquez,46-55,African American,3.8,74.7,Rejected
Jeremy Mccall,46-55,African American,8.1,78.8,Rejected
Rebecca Whitaker,56+,Hispanic,2.7,95.8,Accepted
Wesley Torres,56+,African American,16.5,65.2,Rejected
Joshua Phelps,18-25,Hispanic,9.8,93.2,Accepted
Michael Werner,18-25,African American,3.5,91.7,Accepted
John Roberts,26-35,Hispanic,2.8,73.3,Rejected
Alexis Hall,26-35,Middle Eastern,11.5,91.5,Accepted
Tim Gonzalez,56+,Middle Eastern,19.6,80.5,Rejected
Kurt Chapman,36-45,Middle Eastern,3.2,76.1,Rejected
Rhonda Townsend,56+,East Asian,15.7,66.3,Rejected
Scott House,26-35,South Asian,6.0,79.8,Rejected
Dr. Brandon Castro V,46-55,Hispanic,15.4,89.1,Rejected
Timothy Lopez,18-25,Hispanic,1.3,75.9,Rejected
Anthony Shaffer,26-35,East Asian,8.8,92.7,Accepted
Bradley Allen,46-55,African American,3.6,93.8,Accepted
Patrick Kim,36-45,Hispanic,8.8,76.7,Rejected
John Castillo,26-35,Caucasian,18.7,88.1,Accepted
Angela Lewis,56+,Caucasian,15.1,73.9,Rejected
Ryan Wright,46-55,East Asian,9.0,66.0,Rejected
Patricia Fuller,56+,Caucasian,4.2,70.9,Rejected
Elizabeth Phillips,36-45,Hispanic,15.9,78.3,Rejected
Peter Garrison,36-45,South Asian,3.4,74.2,Rejected
Michelle Thomas,26-35,African American,8.4,90.0,Accepted
Mary Colon,26-35,East Asian,18.7,75.8,Rejected
David Robinson,26-35,Caucasian,8.1,90.7,Accepted
Raymond Miller,18-25,Caucasian,9.0,76.3,Rejected
Carolyn Dean,56+,Hispanic,4.6,92.1,Accepted
Patricia Robinson,18-25,East Asian,4.3,83.7,Accepted
Deborah Decker,18-25,Middle Eastern,17.8,73.1,Rejected
Kevin Nunez,46-55,Hispanic,11.3,84.3,Rejected
Scott Farrell,18-25,East Asian,18.2,81.5,Accepted
Tonya Campbell,18-25,South Asian,16.7,65.6,Rejected
Kyle Scott,56+,Hispanic,10.0,96.4,Accepted
John Herrera,46-55,East Asian,10.1,79.9,Rejected
Kristen Nelson,36-45,Caucasian,6.7,98.2,Accepted
Brian Perkins,26-35,African American,3.1,88.8,Accepted
Alan Evans,26-35,Caucasian,20.0,84.6,Accepted
Heather Sims,36-45,South Asian,5.9,86.2,Accepted
Larry Branch,26-35,Hispanic,15.1,91.3,Accepted
Angela Benson,26-35,African American,11.0,70.0,Rejected
Kyle Harris,18-25,Caucasian,4.5,81.7,Accepted
Raymond Johnson,18-25,Middle Eastern,12.5,87.4,Rejected
Chris Johnson,46-55,African American,12.7,87.0,Rejected
William Smith,18-25,South Asian,6.0,81.6,Accepted
Rebecca Bennett,46-55,African American,13.2,68.2,Rejected
Lisa Parker,36-45,Middle Eastern,15.8,92.1,Accepted
Michael Martinez,56+,Caucasian,6.0,78.9,Rejected
Angela Cooper,26-35,African American,5.0,88.9,Accepted
Angela Foster,36-45,African American,11.5,69.2,Rejected
Beverly Pearson,36-45,Caucasian,17.6,70.3,Rejected
Heidi Blankenship,18-25,Middle Eastern,1.4,69.0,Rejected
Austin Murphy,46-55,Caucasian,16.5,80.0,Rejected
Michael Palmer,26-35,African American,11.8,92.2,Accepted
Scott Graham,18-25,Middle Eastern,13.1,94.7,Accepted
Heather Haley,18-25,African American,17.1,71.7,Rejected
Jason George,26-35,Caucasian,3.7,81.7,Accepted
Natalie Garcia,26-35,South Asian,17.8,78.9,Rejected
Tammy Richards,56+,Middle Eastern,18.5,97.5,Accepted
Teresa Brady,26-35,Middle Eastern,16.6,83.6,Rejected
Jason Vaughn,26-35,Middle Eastern,18.3,98.9,Accepted
Anthony Rodriguez,46-55,African American,6.5,68.2,Rejected
Elizabeth Barton,26-35,African American,9.0,82.2,Rejected
Jennifer Fisher,56+,Caucasian,14.1,80.8,Rejected
Michael Peters,26-35,East Asian,12.3,97.8,Accepted
Timothy Rowland,36-45,South Asian,14.5,82.4,Accepted
Tyler Miller,26-35,Middle Eastern,16.4,65.9,Rejected
Linda Evans,18-25,Caucasian,4.9,66.2,Rejected
Robert Ochoa,18-25,South Asian,3.8,83.8,Accepted
Lisa Perez,46-55,East Asian,2.7,87.3,Accepted
Gary Morales,18-25,African American,18.6,69.7,Rejected
Sara Jackson,46-55,Middle Eastern,18.6,91.6,Accepted
Patricia Hill,56+,Middle Eastern,13.4,72.5,Rejected
Steven Johnson,56+,Middle Eastern,14.8,87.9,Rejected
Nicole Mcintosh,46-55,African American,10.5,79.8,Rejected
Jasmine Smith,36-45,East Asian,5.3,98.1,Accepted
Robin Perez,36-45,Caucasian,19.5,89.8,Accepted
Lindsay Martin,18-25,South Asian,1.6,74.2,Rejected
Jordan Blackburn,26-35,East Asian,11.6,93.6,Accepted
Jessica Mueller,18-25,Hispanic,17.6,68.4,Rejected
Christine Smith,46-55,African American,17.7,93.2,Accepted
Jennifer Cummings DVM,18-25,Caucasian,1.2,65.3,Rejected
Brianna Baker,56+,East Asian,8.8,96.0,Accepted
Mary Poole,46-55,Caucasian,12.9,87.6,Accepted
Patricia Craig,46-55,Middle Eastern,14.9,70.9,Rejected
Joshua Martin,36-45,East Asian,11.6,76.0,Rejected
Nicholas Ferguson,26-35,African American,18.4,84.5,Rejected
Victoria Lane,18-25,Middle Eastern,6.9,76.9,Rejected
Megan Rios,36-45,Hispanic,4.3,76.5,Rejected
Julian Anderson,56+,African American,5.0,97.3,Accepted
Kelly Todd,18-25,Caucasian,3.1,68.7,Rejected
Brian Gray II,18-25,African American,14.8,91.6,Accepted
Lisa Lee,36-45,African American,7.4,92.0,Accepted
Casey Lawrence,18-25,East Asian,6.2,78.8,Rejected
Michelle Mills,18-25,Caucasian,7.8,69.6,Rejected
Andrew Black,46-55,Middle Eastern,11.7,81.2,Rejected
Jason Owens,56+,South Asian,8.7,85.2,Accepted
Samuel Caldwell,46-55,Middle Eastern,3.6,75.6,Rejected
Christopher Peterson,36-45,Hispanic,6.7,87.1,Rejected
Linda Campbell,26-35,Caucasian,12.0,72.9,Rejected
Devin Johnson,46-55,East Asian,14.1,77.8,Rejected
April Cooper,26-35,Hispanic,14.9,97.4,Accepted
Cameron Bryant,18-25,South Asian,18.7,89.6,Accepted
Daniel Gray,36-45,Middle Eastern,19.7,69.1,Rejected
Jerry Mccann,18-25,African American,7.4,73.7,Rejected
John Hogan,36-45,African American,5.5,78.2,Rejected
Beth Gonzalez,26-35,African American,17.2,79.0,Rejected
Theodore Hutchinson,26-35,East Asian,15.8,89.8,Accepted
George Mccarthy,18-25,African American,15.3,75.9,Rejected
Benjamin Lynch,26-35,East Asian,10.2,94.9,Accepted
Jamie Hartman,26-35,Caucasian,17.9,76.1,Rejected
Holly Baxter,56+,South Asian,2.2,78.3,Rejected
Carrie Chan,46-55,South Asian,11.2,69.6,Rejected
Michelle Simmons,26-35,South Asian,15.3,86.3,Accepted
Stephanie Boyd,56+,African American,15.4,97.3,Accepted
Cynthia Williams,56+,Middle Eastern,3.0,72.2,Rejected
Anna Williams,56+,African American,18.3,75.1,Rejected
Mitchell Schmidt,18-25,Caucasian,8.3,83.4,Accepted
Christopher Velasquez,56+,South Asian,4.6,95.5,Accepted
Joseph Robinson,26-35,Caucasian,12.9,91.4,Accepted
Andrew Price,26-35,East Asian,14.0,79.7,Rejected
Trevor Massey,46-55,East Asian,1.1,87.1,Accepted
Rachel Adams,18-25,African American,17.9,86.4,Rejected
Christian Gray,56+,Hispanic,7.9,97.9,Accepted
Joshua Mcdonald,26-35,East Asian,13.7,80.8,Accepted
Joseph Delgado,56+,East Asian,7.2,77.7,Rejected
Dawn Atkins,36-45,Hispanic,15.8,89.7,Accepted
Scott Moore,18-25,Middle Eastern,1.3,83.9,Rejected
Heather Grimes,18-25,South Asian,16.5,93.9,Accepted
Laura Lopez,18-25,Middle Eastern,13.1,74.7,Rejected
Kimberly Elliott,18-25,African American,3.5,74.7,Rejected
John Day,56+,Hispanic,12.7,86.6,Rejected
Mikayla King DDS,36-45,Caucasian,17.2,65.1,Rejected
Robin Smith,18-25,Caucasian,2.6,81.9,Accepted
Eric Bell,36-45,South Asian,15.2,89.3,Accepted
Norman Cortez,26-35,Hispanic,10.2,69.8,Rejected
Julia Henson,36-45,Hispanic,4.3,91.6,Accepted
Marcus Nielsen,46-55,South Asian,6.5,80.2,Rejected
John Davis,46-55,South Asian,2.8,69.0,Rejected
Johnny Collins,46-55,African American,8.1,93.5,Accepted
Tom Day,18-25,Hispanic,19.4,86.6,Rejected
John Henderson,26-35,Middle Eastern,3.8,83.9,Rejected
Leah Stark,26-35,African American,3.0,94.6,Accepted
Vanessa Kelly,18-25,Middle Eastern,18.2,93.1,Accepted
Philip Rojas,36-45,Hispanic,3.8,93.2,Accepted
Tina Thomas,26-35,Middle Eastern,19.0,67.6,Rejected
Joseph Hutchinson,26-35,South Asian,9.7,93.0,Accepted
Erik Sullivan,46-55,Caucasian,17.7,97.4,Accepted
Deborah Hernandez,36-45,Hispanic,14.8,77.7,Rejected
April Harris,26-35,East Asian,7.9,83.3,Accepted
Mark Vasquez,56+,South Asian,5.7,94.4,Accepted
Ryan Mills,56+,Middle Eastern,4.2,84.9,Rejected
Debra Allen,18-25,Caucasian,10.0,80.7,Accepted
Craig Espinoza,18-25,Hispanic,2.9,80.8,Rejected
Amanda Williams,46-55,Caucasian,5.5,75.9,Rejected
Lee Peterson,18-25,African American,2.7,81.2,Rejected
Jordan Avery,46-55,East Asian,2.0,75.7,Rejected
Brian Payne,18-25,South Asian,2.6,94.1,Accepted
Stacey Rivera,26-35,Caucasian,7.7,89.2,Accepted
Charles Mata,26-35,Caucasian,14.7,98.0,Accepted
Stacey Leon,18-25,Caucasian,5.8,68.4,Rejected
Mr. Jason Crawford,56+,African American,14.0,96.9,Accepted
Gregory Blackwell,46-55,South Asian,11.1,66.7,Rejected
Sheryl Villegas,18-25,South Asian,7.2,73.9,Rejected
Curtis Meyer,26-35,East Asian,11.7,82.6,Accepted
Frank Thompson,26-35,South Asian,1.3,85.0,Accepted
Corey Duncan,36-45,Hispanic,2.1,87.2,Rejected
Jeffrey Bray,26-35,East Asian,16.0,84.1,Accepted
Nicholas Gibbs,56+,East Asian,1.6,76.0,Rejected
Jamie Collins,36-45,South Asian,17.3,72.7,Rejected
Donna Greene,18-25,Middle Eastern,19.8,74.6,Rejected
Tracy Morrison,46-55,Hispanic,4.8,79.4,Rejected
David Reed,46-55,East Asian,18.6,81.3,Rejected
Elizabeth Brown,26-35,Hispanic,6.0,97.9,Accepted
Lynn Gonzales,46-55,South Asian,5.3,91.7,Accepted
Debbie Williams,18-25,East Asian,5.4,71.8,Rejected
Ryan Dickerson,36-45,Caucasian,1.9,74.8,Rejected
Tyler Schmitt,46-55,Middle Eastern,12.3,91.5,Accepted
Mike Murillo,56+,South Asian,3.8,80.7,Rejected
Luis Reed,26-35,East Asian,6.6,78.3,Rejected
Eric Reid,46-55,Middle Eastern,16.0,88.6,Rejected
William Herrera,56+,Caucasian,4.5,71.9,Rejected
Jose Bell,36-45,South Asian,17.0,85.0,Accepted
Pamela Cox,26-35,Caucasian,16.8,89.2,Accepted
Janice Smith,18-25,African American,10.2,72.0,Rejected
Sonya Watson,36-45,South Asian,1.2,80.1,Accepted
Christina Anderson,46-55,Middle Eastern,8.4,72.0,Rejected
Dana Henson,18-25,East Asian,1.1,91.7,Accepted
Taylor Crane,46-55,Hispanic,4.8,95.2,Accepted
Joseph Coleman,36-45,East Asian,1.0,73.7,Rejected
Jerry Bradley,18-25,Middle Eastern,18.4,81.8,Rejected
Jessica Olsen,18-25,South Asian,4.1,78.9,Rejected
Robert Austin,36-45,Caucasian,15.5,98.0,Accepted
Jason Guerra,56+,Middle Eastern,4.5,76.2,Rejected
Jenny Johnson,56+,Middle Eastern,13.1,94.9,Accepted
Robyn Wilson,46-55,Middle Eastern,2.7,75.3,Rejected
Heather Yang,18-25,South Asian,1.5,84.9,Accepted
Jeffrey Dawson,26-35,South Asian,13.2,71.3,Rejected
Sarah Smith,18-25,Middle Eastern,14.4,78.2,Rejected
Amanda Elliott,26-35,South Asian,7.1,80.9,Accepted
Elizabeth Moss,18-25,Caucasian,13.9,84.3,Accepted
Matthew Tran,46-55,Caucasian,11.8,78.2,Rejected
Megan Ross,18-25,Caucasian,19.9,98.3,Accepted
Mark Gates,18-25,Middle Eastern,8.0,83.3,Rejected
Logan Roberts,56+,African American,9.8,90.4,Rejected
Marissa Murillo,36-45,Middle Eastern,12.7,74.4,Rejected
Andrew Foster,18-25,Caucasian,8.2,71.6,Rejected
Kimberly Singh,46-55,Middle Eastern,10.3,87.2,Rejected
Felicia Reese,26-35,Caucasian,14.0,84.1,Accepted
Joseph Schmidt,18-25,South Asian,18.4,93.8,Accepted
Matthew Diaz,46-55,Middle Eastern,16.1,77.0,Rejected
Mark Buchanan,26-35,African American,16.6,89.1,Accepted
Sonya Green,26-35,African American,2.6,89.7,Accepted
Erica Lang,18-25,South Asian,17.2,83.8,Accepted
Kimberly Rodriguez,46-55,African American,6.0,76.3,Rejected
Mary Brown,36-45,Caucasian,19.3,70.3,Rejected
Virginia Obrien,26-35,African American,14.4,97.9,Accepted
Scott Norris,26-35,African American,10.6,97.7,Accepted
Dustin Holt,26-35,Hispanic,10.0,74.7,Rejected
Jamie Hernandez,18-25,African American,15.2,75.8,Rejected
Sally Snow,36-45,Hispanic,7.5,85.0,Rejected
Suzanne Brown,46-55,Hispanic,7.9,77.6,Rejected
William Baker,26-35,South Asian,10.7,75.5,Rejected
Deborah Anderson,18-25,East Asian,10.1,89.7,Accepted
John Evans,36-45,East Asian,3.3,79.3,Rejected
Tracey Taylor,46-55,African American,3.9,80.5,Rejected
Randy Kramer,46-55,Middle Eastern,7.4,82.3,Rejected
Michael Miller,46-55,Hispanic,7.0,96.4,Accepted
Nicole Acevedo,46-55,Caucasian,13.9,93.6,Accepted
Gregory Griffin,36-45,African American,7.4,77.8,Rejected
Mr. Kenneth Greene,18-25,South Asian,11.5,66.5,Rejected
Bradley White,56+,South Asian,11.4,93.1,Accepted
Madison Stein,36-45,Caucasian,19.3,98.5,Accepted
Dominic Harris,26-35,East Asian,7.1,73.5,Rejected
Samantha Collins,36-45,Middle Eastern,13.9,92.8,Accepted
Marissa Wright,26-35,Caucasian,19.2,66.8,Rejected
Matthew Henderson,56+,Caucasian,12.0,71.8,Rejected
Tina Shields,18-25,South Asian,5.7,78.1,Rejected
Nicole Shaw,26-35,South Asian,15.7,82.6,Accepted
Gina Rodriguez,26-35,South Asian,13.8,97.2,Accepted
Bryan Medina,36-45,Caucasian,18.6,65.6,Rejected
Stephanie Smith,18-25,South Asian,6.5,93.0,Accepted
Kirsten Bishop,18-25,South Asian,10.3,65.0,Rejected
Jon Johnson,56+,Hispanic,17.4,65.8,Rejected
Natalie Liu,46-55,Caucasian,16.7,68.5,Rejected
Katherine Barnes,36-45,African American,4.9,70.2,Rejected
Michael Cross,46-55,East Asian,4.2,84.1,Accepted
Nicholas Taylor,46-55,Middle Eastern,9.5,89.5,Rejected
Michelle Carter,56+,East Asian,2.2,91.2,Accepted
Tyler Holmes,26-35,African American,19.3,68.8,Rejected
Todd Holt,36-45,Hispanic,17.1,83.4,Rejected
Stephen Avila,56+,Caucasian,7.2,73.5,Rejected
Shirley Olsen,46-55,South Asian,14.3,75.2,Rejected
Teresa Richards,18-25,South Asian,14.6,66.1,Rejected
Isabel Burton,18-25,Caucasian,17.8,88.9,Accepted
Kristy Howard,18-25,African American,17.0,76.1,Rejected
Ashley Gardner,56+,South Asian,5.0,82.2,Rejected
Blake Hernandez,18-25,Hispanic,8.0,86.1,Rejected
Andrew Gutierrez,36-45,Middle Eastern,18.7,76.2,Rejected
